,sentence,index,words,type,hindi_sentence,hindi_words
1201,worms are usually red wiggler white worms and other earthworms,4148,,train,कीड़े आमतौर पर लाल विग्लर सफेद कीड़े और अन्य केंचुए होते हैं,#VALUE!
1202,i could not care less about any other ideology than a pure white state the form of gov we have to me is almost irrelevant you only care about muh nigger equals such a punk faggot take your cucks and gtfo,1064,pure white state muh nigger equals faggot take,train,"मैं किसी भी अन्य विचारधारा के बारे में एक शुद्ध सफेद राज्य की तुलना में कम परवाह नहीं कर सकता था, जो कि हमारे पास है कि हमारे पास लगभग अप्रासंगिक है, आप केवल मुह निगर के बारे में परवाह करते हैं कि इस तरह के एक पंक फगोट अपने कोक और जीटीएफओ ले जाते हैं",शुद्ध सफेद राज्य मुह निगर फगोट के बराबर है
1203,senator schumer chose illegal immigrants who are in violation of the law of the land over legal law abiding citizens of this country never forget,5900,,train,"सीनेटर शूमर ने अवैध प्रवासियों को चुना, जो इस देश के नागरिकों पर नजर रखने वाले कानूनी कानून पर भूमि के कानून का उल्लंघन करते हैं",#VALUE!
1204,i really think the msm the left should stop using refugee immigrant illegal aliens as synonymous terms refugees are escaping dangerous situations immigrants are likely seeking economic opportunities illegal aliens are law breakers right from the jump these are not the same circumstances,1736,,train,मुझे वास्तव में लगता है कि एमएसएम को वामपंथी शरणार्थी आप्रवासी अवैध एलियंस का उपयोग करना बंद कर देना चाहिए क्योंकि पर्यायवाची शब्द शरणार्थी खतरनाक स्थितियों से बच रहे हैं आप्रवासियों की संभावना है कि आर्थिक अवसरों की तलाश कर रहे हैं अवैध एलियंस कानून तोड़ने वाले हैं जो कि कूदने से ही सही नहीं हैं।,#VALUE!
1205,white people complain about homophobia in the middle east just to fuel their islamophobia they literally don ’ t give a shit about gay arabs,12815,fuel their islamophobia they literally don ’ t give a shit about gay arabs,train,गोरे लोग मध्य पूर्व में होमोफोबिया के बारे में शिकायत करते हैं कि वे अपने इस्लामोफोबिया को ईंधन देने के लिए वे सचमुच समलैंगिक अरबों के बारे में एक बकवास नहीं देते हैं,उनके इस्लामोफोबिया को ईंधन वे सचमुच समलैंगिक अरबों के बारे में एक बकवास नहीं देते हैं
1206,twitter is a ghetto that wants to shut down divergent thought any time or effort placed on that platform is an utter waste do not use twitter as a barometer of success it rigged against us,746,,train,ट्विटर एक यहूदी बस्ती है जो किसी भी समय विचलन को बंद करना चाहता है या उस प्लेटफॉर्म पर रखा गया प्रयास एक पूरी तरह से अपशिष्ट है ट्विटर का उपयोग न करें क्योंकि यह सफलता के बैरोमीटर के रूप में हमारे खिलाफ धांधली है,#VALUE!
1207,<user> damn looks like i ’ m retarded,10320,retarded,train,<उपयोगकर्ता> लानत है जैसे मैं मंदबुद्धि हूं,मंद
1208,looks at avi you think white people not going to call you a nigger,7662,,train,एवी को लगता है कि आपको लगता है कि गोरे लोग आपको निगर नहीं करने जा रहे हैं,#VALUE!
1209,when bitches say this is real you are real yes even real or not real it just hits different,10728,when bitches say,train,"जब कुतिया कहते हैं कि यह असली है तो आप असली हैं, यहां तक ​​कि वास्तविक या नहीं असली यह सिर्फ अलग हिट करता है",जब कुतिया कहते हैं
1210,toot n daad saved the world not for justice but because the world is his bitch toot n daad,9811,,train,toot n daad ने दुनिया को न्याय के लिए नहीं बल्कि क्योंकि दुनिया उसकी कुतिया toot n daad है,#VALUE!
1211,this is a great example of a fake white who would be willing to sell you out to the moslem just because you do not agree with him even if you are white traitor,1726,,train,"यह एक नकली सफेद का एक महान उदाहरण है जो आपको मोस्लेम को बेचने के लिए तैयार होगा, क्योंकि आप उसके साथ सहमत नहीं हैं, भले ही आप सफेद गद्दार हैं",#VALUE!
1212,<user> he was hacked today by a racist amp a nazi and somehow people forgot he was already racist himself ¯ ツ ¯,12212,racist nazi racist,train,<उपयोगकर्ता> वह आज एक नस्लवादी amp द्वारा एक नाजी द्वारा हैक किया गया था और किसी तरह लोग भूल गए,नस्लवादी नाजी नस्लवादी
1213,i joined a queer asians fb group thinking it d be like sat where it lighthearted memes but instead it just that constant lol i am gonna be forever alone bc i am a depressed piece of garbage type of shit and i am like huh i really can not stomach that anymore,6874,,train,"मैं एक क्वीर एशियाई लोगों के साथ जुड़ गया, यह सोचकर कि यह सैट की तरह है, जहां यह याद आता है, लेकिन इसके बजाय यह सिर्फ उस निरंतर योग्य है मैं हमेशा के लिए अकेला रहने वाला हूं, मैं कचरा प्रकार का एक उदास टुकड़ा हूं और मैं वास्तव में नहीं कर सकता हूं मैं वास्तव में नहीं कर सकता हूं अब पेट",#VALUE!
1214,<user> you are genuinely retarded,482,retarded,train,<उपयोगकर्ता> आप वास्तव में मंद हैं,मंद
1215,where can one get this image in full resolution its the perfect emoji to use when a leftist retard says something ludicrous all the time that you can not get enough of go on amuse me more <user>,8741,leftist retard,train,"जहां कोई भी इस छवि को पूर्ण संकल्प में प्राप्त कर सकता है, इसका उपयोग करने के लिए सही इमोजी का उपयोग करने के लिए जब एक वामपंथी मंदबुद्धि हर समय कुछ कहती है कि आप मुझे और अधिक नहीं मिल सकते हैं।",वामपंथी मंदबुद्धि
1216,<user> we know what state is full of white people now mskdfsdkfmskdfmksmdf,7345,,train,"<user> हम जानते हैं कि कौन सा राज्य गोरे लोगों से भरा है, अब mskdfsdkfmskdfmksmdf",#VALUE!
1217,the most ghetto shit i did was post my relationship status and a couples picture <number> years ago on facebook,6111,,train,"मैंने जो सबसे यहूदी बस्ती की थी, वह मेरे रिश्ते की स्थिति और एक युगल चित्र <नंबर> साल पहले फेसबुक पर पोस्ट किया गया था",#VALUE!
1218,nigga stop getting suspended,1478,nigga,train,निग्गा निलंबित हो रहा है,निगा
1219,lmao the lack of retards is making me retarded,916,lack of retards is making me retarded,train,lmao रिटार्ड्स की कमी मुझे मंद कर रही है,रिटर्ड्स की कमी मुझे मंद कर रही है
1220,another low for the new york daily news promoting dishonest claim that trump called immigrants animals bit ly fakenews 2 ivacnl maga maga2018 tcot nodaca nodreamers noamnesty nochainimmigration buildthewall actually trump insulted animals by comparing them to ms <number>,12728,,train,"न्यूयॉर्क डेली न्यूज के लिए एक और कम, बेईमानी का दावा है कि ट्रम्प ने आप्रवासियों को जानवरों को बिट लाई फेकन्यूज 2 IVACNL MAGA2018 TCOT NODACA NODREAMERS NOAMNESTY NOCHAINIMIGRATION बिल्डवॉल ने वास्तव में ट्रम्प को अपमानित किया, जो उन्हें एमएस <नंबर> से तुलना करके अपमानित करता है।",#VALUE!
1221,reports that georgia is turning blue are mistaken it turning nigger,2651,mistaken it turning nigger,train,रिपोर्ट है कि जॉर्जिया नीला हो रहा है,गलत तरीके से यह निगर को मोड़ना
1222,i hate ghetto names 😭,2246,,train,मुझे यहूदी बस्ती के नाम से नफरत है,#VALUE!
1223,saw a documentary a couple of years ago on the part still destroyed by the flood everyone complaining about injustice and racism of someone not rebuilding their ghetto in a non gentrifying way of course which was run down before the flood they expect handouts,9293,everyone complaining about injustice and racism of someone not rebuilding their ghetto in a non gentrifying way of course which was run down before the flood they expect handouts,train,"कुछ साल पहले एक वृत्तचित्र में देखा गया था कि अभी भी बाढ़ से नष्ट कर दिया गया है, जो किसी के अन्याय और नस्लवाद के बारे में शिकायत कर रहा है, किसी के साथ नस्ल के नस्लवाद को एक गैर -जेंट्रीफाइंग तरीके से पुनर्निर्माण नहीं कर रहा था जो कि बाढ़ से पहले नीचे चला गया था, वे हैंडआउट्स की उम्मीद करते हैं","हर कोई अन्याय और किसी के नस्लवाद के बारे में शिकायत कर रहा है कि वह अपने यहूदी बस्ती का पुनर्निर्माण नहीं करता है, जो निश्चित रूप से एक गैर -जेंट्रीफाइंग तरीके से था, जो बाढ़ से पहले नीचे चला गया था, वे हैंडआउट्स की उम्मीद करते हैं"
1224,time for realjustice bcuz islam is a cancer on humanity that needs to be eradicated not enabled purge deport crusade white europeans have to get their mojo back fireuptheovens,1898,islam is a cancer on humanity that needs to be eradicated not enabled purge deport fireuptheovens,train,"RealJustice Bcuz इस्लाम के लिए समय मानवता पर एक कैंसर है जिसे मिटाने की आवश्यकता है, इसे पराजित नहीं किया जाना चाहिए।","इस्लाम मानवता पर एक कैंसर है जिसे मिटाने की आवश्यकता है, न कि पर्ज डेपोर्ट फायरअपवेन्स को सक्षम न करें"
1225,story wise for nano i have i never know how to succinctly describe my fantasy story but the other two are essentially a lesbian romance with a hanahaki disease club as the backdrop main setting it feels very hyouka tbh and an urban fantasy detective story,15017,,train,"नैनो के लिए कहानी बुद्धिमान मैं कभी नहीं जानता कि मैं अपनी फंतासी कहानी का वर्णन कैसे करता हूं, लेकिन अन्य दो अनिवार्य रूप से एक हनाहकी रोग क्लब के साथ एक समलैंगिक रोमांस हैं क्योंकि बैकड्रॉप मुख्य सेटिंग यह बहुत ही hyouka tbh और एक शहरी काल्पनिक जासूसी कहानी लगता है",#VALUE!
1226,commuting this guy sentence is anti semitic <number> dimensional chess by sparing one jew a few years in prison he got the photograph of this greasy yarmulke wearing yid named sholom rubashkin at the top of every news website on the planet as the face of illegal immigrant related criminality,5665,,train,इस आदमी की सजा को कम करने से सेमिटिक एंटी सेमिटिक <नंबर> एक यहूदी शतरंज है कि कुछ साल की जेल की सजा काटकर उन्हें इस चिकना यरमुल्के की तस्वीर मिली। संबंधित अपराधीता,#VALUE!
1227,iron man black widow thanos dies in the new avengers movie 🥴,10122,,train,आयरन मैन ब्लैक विडो थानोस नई एवेंजर्स मूवी में मर जाता है,#VALUE!
1228,<user> nigger dyke,9058,,train,<उपयोगकर्ता> निगर डाइक,#VALUE!
1229,aw the people who worshipped the muslim marxist for <number> years voted for the spiritcooking muslimbrotherhood saudisharia russia reset whore sparemetheoutrage maga speakfreely gabfam,9422,aw the people who worshipped the muslim marxist for <number> years voted for the saudisharia,train,"Aw जिन लोगों ने मुस्लिम मार्क्सवादी की पूजा की थी, वे <नंबर> वर्ष के लिए स्पिरिटकॉकिंग मुस्लिम्ब्रॉथरहुड सऊदिशारिया रूस के लिए मतदान करते थे","Aw जिन लोगों ने मुस्लिम मार्क्सवादी की पूजा की, उन्होंने <संख्या> वर्ष के लिए सऊदिशारिया के लिए मतदान किया"
1230,i love picking up annoying retarded habits that i think are funny,941,retarded,train,मुझे परेशान करने वाली मंद आदतों को चुनना पसंद है जो मुझे लगता है कि मजाकिया हैं,मंद
1231,<user> welcome to femi nazi you are like yes to equal right but no to equal responsibility irony,323,femi nazi,train,"<user> Femi Nazi में आपका स्वागत है आप समान अधिकार के लिए हां हैं, लेकिन समान जिम्मेदारी विडंबना के लिए नहीं",फेमी नाजी
1232,bare naked islam brought to you by the bare naked ladies,75,bare naked islam brought to you by the bare naked ladies,train,नंगे नग्न इस्लाम नंगे नग्न महिलाओं द्वारा आपके लिए लाया गया,नंगे नग्न इस्लाम नंगे नग्न महिलाओं द्वारा आपके लिए लाया गया
1233,<user> it all big business they are fine with all that as long as they can run unregulated to rape and pillage and hoard all the money,12622,,train,<उपयोगकर्ता> यह सभी बड़े व्यवसाय के साथ वे सभी के साथ ठीक हैं जब तक वे बलात्कार और पिल्ले के लिए अनियमित दौड़ सकते हैं और सभी पैसे जमा कर सकते हैं,#VALUE!
1234,i like how they call you faggot and nigger one minute then and act highbrow the next usually over a mild difference of opinion,6884,faggot nigger,train,मुझे पसंद है कि कैसे वे आपको फागोट कहते हैं और फिर एक मिनट में निगर करते हैं और अगले आम तौर पर एक हल्के अंतर से अधिक उच्चतर कार्य करते हैं,फागोट निगर
1235,<user> idk man apparently you gotta be a queer to have morals we all must be gay then only explanation,4265,queer gay,train,<user> idk आदमी जाहिरा तौर पर आप नैतिकता के लिए एक कतारबद्ध होना चाहिए हम सभी को समलैंगिक होना चाहिए तो केवल स्पष्टीकरण,क्वीर गे
1236,two gay guys living together and pooling their resources you know have more resources also before everygaycouple started adopting non verbal special needs niglet boys none cared about the quality of schools the only gays i know that adopted a girl other than on modern family adopted a niece,7495,,train,"एक साथ रहने वाले दो समलैंगिक लोग और अपने संसाधनों को पूलिंग करते हैं जिन्हें आप जानते हैं कि अधिक संसाधन भी हैं, इससे पहले कि हर मौखिक रूप से गैर -मौखिक विशेष जरूरतों को अपनाना शुरू कर दिया, निगलेट लड़कों ने स्कूलों की गुणवत्ता के बारे में कोई भी परवाह नहीं की, केवल समलैंगिकों को मैं जानता हूं कि आधुनिक परिवार के अलावा एक लड़की को गोद लिया गया था, एक भतीजी को अपनाया।",#VALUE!
1237,<user> bitch is stupid,15015,,train,<उपयोगकर्ता> कुतिया बेवकूफ है,#VALUE!
1238,<user> <user> yeh support him for brexit regardless of his attitude towards muslims you do support the murder and harrasment of muslims worse than that you would ignore the evil in someone to support your own view not islam at all,14001,,train,"<user> <user> yeh उसे Brexit के लिए उसका समर्थन करते हैं, भले ही मुसलमानों के प्रति उनके रवैये की परवाह किए बिना आप मुसलमानों की हत्या और उत्पीड़न का समर्थन करते हैं, इससे भी बदतर आप किसी में बुराई को अनदेखा कर देंगे कि आप अपने स्वयं के दृष्टिकोण का समर्थन करने के लिए इस्लाम को बिल्कुल भी नहीं करेंगे।",#VALUE!
1239,u niggers r coonin for that kanye shit,342,niggers coonin,train,यू निगर आर क्योनिन के लिए उस कान्ये गंदगी के लिए,निगर कोनिन
1240,stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off,31,stupid nigger doesnt have iq,train,"बेवकूफ निगर ने स्कूल की नौकरी की डिग्री की स्थिति के लिए ग्रेड एडमिसिओइन दिया, जो उसने कभी नहीं अर्जित किया और बकवास के लिए आईक्यू नहीं है",बेवकूफ निगर के पास iq नहीं है
1241,<user> these people are so keen on keeping illegal immigrants and self destructing themselves,2410,,train,<उपयोगकर्ता> ये लोग अवैध आप्रवासियों को रखने और खुद को विनाश करने के लिए उत्सुक हैं,#VALUE!
1242,you are fucking retard,1970,you are fucking retard,train,आप मंदबुद्धि हैं,आप मंदबुद्धि हैं
1243,we have a giant area set aside where illegal immigrants can find safety where ice will not continue to chase them and they are <number> safe from us deportation we call it mexico,5114,,train,"हमारे पास एक विशाल क्षेत्र है, जहां अवैध आप्रवासियों को सुरक्षा मिल सकती है, जहां बर्फ उनका पीछा नहीं करना जारी रखेगी और वे <नंबर> सुरक्षित हैं।",#VALUE!
1244,jewish denials are worthless when the head of israel government fails to adequately protect women from sex criminals even in his own inner circle it is sad but not surprising when israeli children even pre pubescent ones fall victim to sexual predators such as in the shmuel case,5390,jewish denials are worthless sex criminals israeli sexual predators,train,"यहूदी इनकार बेकार हो जाते हैं जब इज़राइल सरकार का मुखिया महिलाओं को सेक्स अपराधियों से पर्याप्त रूप से बचाने में विफल रहता है, यहां तक ​​कि अपने आंतरिक सर्कल में भी यह दुखद है, लेकिन आश्चर्य की बात नहीं है जब इजरायल के बच्चे भी पूर्व यौवन वाले हैं, जो यौन शिकारियों के लिए पीड़ित हैं जैसे कि शमूएल मामले में",यहूदी इनकार बेकार सेक्स अपराधी इजरायली यौन शिकारियों हैं
1245,they blasted a nigga at the mariposa gas station,4722,,train,उन्होंने मारिपोसा गैस स्टेशन पर एक निग्गा को विस्फोट किया,#VALUE!
1246,i hate hoes tow up hoes,11709,i hate hoes hoes,train,मैं hoes top hoes से नफरत करता हूँ,आई हेट होस होस
1247,war has always existed for certain the deadliness and sheer violence of action available these days is stunning people have no idea how bad it can get good luck trying to out run that drone homeboy,5230,,train,"युद्ध हमेशा कुछ के लिए मौजूद है, इन दिनों उपलब्ध कार्रवाई की सरासर हिंसा तेजस्वी लोगों को यह पता नहीं है कि यह कितना बुरा हो सकता है",#VALUE!
1248,before trump stopped it how many faggots enlisted to have mil pay to chop their peckers off enquiring minds wanna know,8397,how many faggots enlisted to have mil pay to chop their peckers off,train,इससे पहले कि ट्रम्प ने इसे रोका कि कितने फगोट्स ने मिल के लिए अपने पेकर्स को काटने के लिए मिल गया है जो पूछताछ करना चाहते हैं,कितने फगोट्स ने अपने पेकर्स को काटने के लिए मिल पे करने के लिए सूचीबद्ध किया
1249,shit i have just raped a <number> year old i think i have to tell the people that allah told me to do it and that how islam was born,15104,shit just raped a <number> year old tell the people that allah told me to do it that how islam was born,train,"शिट मैंने सिर्फ एक <नंबर> वर्ष की उम्र में बलात्कार किया है, मुझे लगता है कि मुझे उन लोगों को बताना है कि अल्लाह ने मुझे यह करने के लिए कहा था और इस्लाम का जन्म कैसे हुआ था",शिट ने सिर्फ एक <नंबर> वर्ष के बलात्कार लोगों को बताया कि अल्लाह ने मुझे यह करने के लिए कहा था कि इस्लाम कैसे पैदा हुआ था
1250,some old memories here lived in chula vista as a teenager wolfman jack was radio then chula vista nice homes swimming pools fruit trees no ghetto latino city no whites now chula vista illegals driving no insurance,12913,ghetto latino,train,"यहां कुछ पुरानी यादें चुला विस्टा में एक किशोरी वोल्फमैन जैक के रूप में रहती थीं, तब चूला विस्टा नाइस होम्स स्विमिंग पूल फ्रूट ट्रीज़ नो यहूदी बस्ती लेटिनो सिटी नो व्हाइट्स अब चुला विस्टा अवैध नहीं",गेटो लेटिनो
1251,wrong for not throwing the arabs out earlier like <number> and take har habayit fully no one would have blinked israel here to stay,3974,wrong for not throwing the arabs out earlier,train,अरबों को पहले बाहर न फेंकने के लिए गलत <नंबर> और हर हबिट को पूरी तरह से ले लो किसी ने भी इज़राइल को यहां रहने के लिए पलक नहीं झपकाया होगा,अरबों को पहले नहीं फेंकने के लिए गलत है
1252,<user> you did hear about the police officer getting killed in california by illegal immigrant you need to build the wall,353,illegal immigrant you need to build the wall,train,<उपयोगकर्ता> आपने पुलिस अधिकारी के बारे में सुना था जो कैलिफोर्निया में अवैध आप्रवासी द्वारा मारे जाने के बारे में आपको दीवार बनाने की आवश्यकता है,अवैध आप्रवासी आपको दीवार का निर्माण करने की आवश्यकता है
1253,our youth are inundated with nigger subculture nigger music niggers on 📺 niggers in movies nigger ball etc they are not taught the greatness of the great composers painters artists the greatness of our military commanders the greatness of our ability to explore,6993,our youth are inundated with nigger subculture nigger music niggers on 📺 niggers in movies nigger ball etc,train,हमारे युवाओं को फिल्मों में nigger nigger संगीत niggers पर निगर उपसंस्कृति निगर संगीत निगर के साथ जलमग्न किया जाता है।,हमारे युवाओं को निगर उपसंस्कृति निगर संगीत निगर के साथ 📺 niggers फिल्मों में 📺 niggers nigger बॉल आदि के साथ जलमग्न किया जाता है
1254,white nationalism is not a threat to america it a viable remedy for the societal atrophy of liberalism white nationalism is a viable solution to stopping future moslem terror rape attacks paying off national debt functional healthcare good schools nationally winning drug war high crime,14904,white nationalism is not a threat to america it a viable remedy for the societal atrophy of liberalism white nationalism is a viable solution to stopping future moslem terror rape attacks paying off national debt functional healthcare good schools nationally winning drug war high crime,train,"व्हाइट नेशनलिज्म अमेरिका के लिए खतरा नहीं है, यह उदारवाद के सामाजिक शोष के लिए एक व्यवहार्य उपाय है, व्हाइट नेशनलिज्म भविष्य के मोस्लेम आतंक बलात्कार हमलों को रोकने के लिए एक व्यवहार्य समाधान है जो राष्ट्रीय ऋण कार्यात्मक स्वास्थ्य सेवा अच्छे स्कूलों को राष्ट्रीय स्तर पर ड्रग युद्ध उच्च अपराध जीतने वाले स्कूलों का भुगतान करता है","व्हाइट नेशनलिज्म अमेरिका के लिए खतरा नहीं है, यह उदारवाद के सामाजिक शोष के लिए एक व्यवहार्य उपाय है, व्हाइट नेशनलिज्म भविष्य के मोस्लेम आतंक बलात्कार हमलों को रोकने के लिए एक व्यवहार्य समाधान है जो राष्ट्रीय ऋण कार्यात्मक स्वास्थ्य सेवा अच्छे स्कूलों को राष्ट्रीय स्तर पर ड्रग युद्ध उच्च अपराध जीतने वाले स्कूलों का भुगतान करता है"
1255,<user> <user> <user> <user> abortion is not only for when the couple was irresponsible the couple can use condom and still get pregnant but there also cases where females get raped and she does not want to have the baby due trauma but okay i guess,4154,,train,"<उपयोगकर्ता> <उपयोगकर्ता> <उपयोगकर्ता> <उपयोगकर्ता> <उपयोगकर्ता> गर्भपात न केवल उस समय के लिए होता है जब युगल गैर -जिम्मेदार था जो युगल कंडोम का उपयोग कर सकता है और अभी भी गर्भवती हो सकता है, बल्कि ऐसे मामले भी हैं जहां महिलाओं के साथ बलात्कार होता है और वह नहीं चाहती लेकिन ठीक है मुझे लगता है",#VALUE!
1256,the other $mdxg shorts are all equally gross <user> is a crazy redneck who got fired for cause,12097,,train,अन्य $ MDXG शॉर्ट्स सभी समान रूप से सकल हैं <उपयोगकर्ता> एक पागल रेडनेक है जिसे कारण के लिए निकाल दिया गया,#VALUE!
1257,we will just use extreme state terror and violence to drive everybody out there now we have a our own country again i do not know dude it a war bad stuff happens that why it a bad idea to threaten people existence,8771,,train,हम बस चरम राज्य के आतंक और हिंसा का उपयोग करेंगे और हर किसी को बाहर निकालने के लिए अब हमारे पास एक अपना देश है फिर से मैं नहीं जानता कि यह एक युद्ध बुरा सामान है कि लोगों के अस्तित्व को खतरे में डालने के लिए यह एक बुरा विचार क्यों है,#VALUE!
1258,it time for that nigger hobbit valerie jarrett to be taught life hardest lessons,10313,nigger hobbit,train,यह उस निगर हॉबिट वैलेरी जेरेट के लिए जीवन को सबसे कठिन सबक सिखाने के लिए समय है,निगर हॉबिट
1259,yeah take them away homeless white britons move them to backalleys nigger ghetto wedding is coming to town complete with dreadlocks rap and initiation ceremony out of voodoo manuals sign the petition britfam let them know you do not want trashy hood rat stripper awarded with titles,6394,nigger ghetto complete with dreadlocks rap and initiation ceremony out of voodoo manuals trashy hood rat stripper awarded with titles,train,"हाँ, उन्हें दूर ले जाओ बेघर सफेद ब्रिटन उन्हें ले जाना",निगर यहूदी बस्ती ड्रेडलॉक रैप और दीक्षा समारोह के साथ पूरी तरह से वूडू मैनुअल ट्रैश हूड रैट स्ट्रिपर से सम्मानित किया गया
1260,<user> the irony is they are the ones whose mothers were raped by m invaders,11060,,train,<उपयोगकर्ता> विडंबना यह है कि वे वे हैं जिनकी माताओं के साथ एम आक्रमणकारियों द्वारा बलात्कार किया गया,#VALUE!
1261,<user> you spray with insecticide and the niggers still walk by like bitch please or worse fly 🤣,14343,niggers,train,<उपयोगकर्ता> आप कीटनाशक के साथ स्प्रे करते हैं और निगर अभी भी कुतिया की तरह चलते हैं या बदतर मक्खी 🤣,जी में आये करो
1262,new gab category within a month of markle and her extended ghetto family moving in,11934,markle and her extended ghetto family moving in,train,मार्कले के एक महीने के भीतर नई गैब श्रेणी और उसके विस्तारित यहूदी बस्ती परिवार में चलते हुए,मार्कल और उसके विस्तारित यहूदी बस्ती परिवार में चलते हुए
1263,<user> it by this weird guy who sexualizes and writes smutty fics about lesbian ships 😭 we will be dragging him,15203,smutty fics about lesbian ships,train,<उपयोगकर्ता> यह इस अजीब आदमी द्वारा जो लेस्बियन जहाजों के बारे में स्मूटी फिक्स का यौन संबंध रखता है और लिखता है 😭 हम उसे घसीटेंगे,समलैंगिक जहाजों के बारे में स्मूथी फिक्स
1264,<user> respectfully i disagree sir autocracy cost more money true but many people rather pass on freedoms if in exchange homelessness is criminalized immigration tightly controlled and lgbt people put in prison and women threatened not to report sexual violence,6033,,train,"<उपयोगकर्ता> सम्मानपूर्वक मैं असहमत हूं कि सर ऑटोक्रेसी ने अधिक धन को सच कर लिया है, लेकिन कई लोग स्वतंत्रता पर गुजरते हैं अगर बदले में बेघर होने के कारण आप्रवासन को कसकर नियंत्रित किया जाता है और एलजीबीटी लोगों को जेल में डाल दिया जाता है और महिलाओं ने यौन हिंसा की रिपोर्ट नहीं करने की धमकी दी है",#VALUE!
1265,<user> mentally retarded faggot,12709,mentally retarded faggot,train,<उपयोगकर्ता> मानसिक रूप से मंद फगोट,मानसिक रूप से मंद फगोट
1266,<user> deniro is such white trash • truly •,3538,,train,<उपयोगकर्ता> डेनिरो ऐसा सफेद कचरा है • सही मायने में •,#VALUE!
1267,sounds like a kike to me,8354,kike,train,मेरे लिए एक kike की तरह लगता है,काइक
1268,islam is derived from judaism,7165,,train,इस्लाम यहूदी धर्म से लिया गया है,#VALUE!
1269,lmao for a minute i thought he just did it since he been shadowing trump continually this 💩 muslim traitor leader of ofa is very active if not out in the open in the background,14182,,train,एक मिनट के लिए LMAO मुझे लगा,#VALUE!
1270,they are obviously trying to compensate or they are blue haired cat hoarders there to study women in the lesbianic sense lol,1369,they are blue haired cat hoarders there to study women in the lesbianic sense,train,वे स्पष्ट रूप से क्षतिपूर्ति करने की कोशिश कर रहे हैं या वे नीले बालों वाली बिल्ली होर्डर्स हैं जो समलैंगिक अर्थों में महिलाओं का अध्ययन करने के लिए हैं,वे नीले बालों वाली बिल्ली होर्डर्स हैं जो समलैंगिक अर्थों में महिलाओं का अध्ययन करने के लिए हैं
1271,if memory serves ashkenazi jews and east asians have higher average iqs,3852,,train,यदि मेमोरी एशकेनाज़ी यहूदियों और पूर्वी एशियाई लोगों की औसत औसत IQs है,#VALUE!
1272,<user> <user> happy birthday muzzy bear 💕,13823,,train,<उपयोगकर्ता> <उपयोगकर्ता> जन्मदिन मुबारक हो,#VALUE!
1273,benazircorruptionrevealed the sindh health minister had virtually gone missing the civil hospital karachi was facing immense problems,7959,,train,BenazircorruptionRevealed सिंध स्वास्थ्य मंत्री वस्तुतः सिविल अस्पताल से गायब हो गए थे कराची को अपार समस्याओं का सामना करना पड़ रहा था,#VALUE!
1274,hussein was a ghetto tenant,9703,hussein was a ghetto tenant,train,हुसैन एक यहूदी बस्ती किरायेदार था,हुसैन एक यहूदी बस्ती किरायेदार था
1275,another ignorant yank the injuns are immigrants like us fucking mongoloids from asia just like jews but they were immigrants not kike landsquatters,10644,ignorant yank the injuns immigrants mongoloids from jews but immigrants not kike,train,"एक और अज्ञानी yank inguns हम्रवासी हैं जैसे कि हम यहूदियों की तरह एशिया से मंगोलोइड्स कमबख्त करते हैं, लेकिन वे अप्रवासी थे जो कि लैंडस्वैटर्स नहीं थे","अज्ञानी ने यहूदियों से अप्रवासी प्रवासियों को मंगोलोइड्स किया, लेकिन आप्रवासियों को काइक नहीं"
1276,if we had to choose my wife and i would pick the black nigger,6446,i would pick the black nigger,train,अगर हमें अपनी पत्नी का चयन करना होता और मैं ब्लैक निगर चुनता,मैं ब्लैक निगर चुनूंगा
1277,<user> <user> are you an angry femi nazi too 🇺 🇸 🇺 🇸 🇺 🇸 🇺 🇸,7667,angry femi nazi,train,<user> <उपयोगकर्ता> क्या आप एक गुस्से वाली महिला नाजी भी हैं,गुस्से में महिला नाजी
1278,ladies and gentlemen this country of ours is indeed a shithole country what the hell is this how does an agency funded by tax payers engage in this banditos sins of saviours,7371,,train,हमारे इस देश में देवियों और सज्जनों ने वास्तव में एक शिथिल देश है कि नरक क्या है यह कैसे करदाताओं द्वारा वित्त पोषित एक एजेंसी सेवियर्स के इस बैंडिटोस पापों में संलग्न है,#VALUE!
1279,i am not jewish as it happens but support the great israel from the dirty arabs like you suggest yo go back to your cancerous family as you have not been brought up normal you spastic <user>,13311,i am not jewish as it happens but support the great israel from the dirty arabs like you suggest yo go back to your cancerous family as you have not been brought up normal you spastic <user>,train,"मैं यहूदी नहीं हूं क्योंकि ऐसा होता है, लेकिन गंदे अरबों से महान इज़राइल का समर्थन करें जैसे कि आप सुझाव देते हैं कि यो अपने कैंसर परिवार में वापस जाएं क्योंकि आप सामान्य रूप से नहीं लाया गया है आप स्पास्टिक <उपयोगकर्ता>","मैं यहूदी नहीं हूं क्योंकि ऐसा होता है, लेकिन गंदे अरबों से महान इज़राइल का समर्थन करें जैसे कि आप सुझाव देते हैं कि यो अपने कैंसर परिवार में वापस जाएं क्योंकि आप सामान्य रूप से नहीं लाया गया है आप स्पास्टिक <उपयोगकर्ता>"
